,Features,Coefficients,p_values
0,const,-1.0794284502740323,4.836405481264832e-11
1,grade_A,0.9073233302617191,7.68008523496197e-20
2,grade_B,0.8152325735428068,2.199002534056402e-28
3,grade_C,0.6117370202749762,3.246021808902848e-19
4,grade_D,0.4149231817002881,1.6412345363664534e-10
5,grade_E,0.21624659742689537,0.00035831268790398503
6,grade_F,0.0964196201992416,0.0684431578993225
7,home_ownership_MORTGAGE,0.13492386554192087,2.5564635640284298e-26
8,home_ownership_OWN,0.1044529067033369,2.3664800818442665e-07
9,purpose_credit_card,0.43576398555238127,5.691091964045477e-48
10,purpose_debt_consolidation,0.3269507311395881,6.94951816945296e-32
11,purpose_home_improvement,0.3255271278268693,1.0852917291216882e-19
12,purpose_other,0.333862622467351,1.5339444846023961e-22
13,purpose_renewable_energy_medical_wedding_vacation,0.4135003846515384,3.9980388964870724e-21
14,purpose_major_purchase_car,0.4829069604038783,3.7708314086634204e-31
15,addr_state_CA,0.06448774472498604,0.0015127797033710126
16,addr_state_NY,0.05556406721981584,0.01806742627928854
17,addr_state_TX,0.2183268632778331,5.572507231765432e-18
18,addr_state_best,0.5136039127368975,2.6286095265415477e-22
19,addr_state_NM_VA,0.03461951085364212,0.2710496631976129
20,addr_state_OK_TN_MO_LA_MD_NC,0.020773658674677984,0.3178948943679045
21,addr_state_UT_KY_AZ_NJ_MD_NC,0.05933139302494987,0.0029642724507067298
22,addr_state_AR_MI_PA_OH_MN,0.12493078200913169,8.476434026204058e-09
23,addr_state_RI_MA_DE_SD_IN,0.0947457708984918,0.0011848964706449607
24,addr_state_GA_WA_OR,0.18059100606551753,3.60977975080958e-12
25,addr_state_WI_MT,0.22423385001832424,1.989956821610106e-06
26,addr_state_IL_CT,0.25859775475098823,1.4859332007728519e-19
27,addr_state_KS_SC_CO_VT_AK_MS,0.309091047886495,1.6093312498115132e-24
28,initial_list_status_f,-0.0782629203107045,1.1022982017028448e-09
29,"earliest_cr_line_weeks_(255.2, 510.4]",0.16700264237859228,0.12011821399735557
30,"earliest_cr_line_weeks_(510.4, 765.6]",0.22119932100124545,0.03239174953557569
31,"earliest_cr_line_weeks_(765.6, 1020.8]",0.23484135773034714,0.02248563289015165
32,"earliest_cr_line_weeks_(1020.8, 1276.0]",0.2921445069564335,0.004598148712660072
33,"earliest_cr_line_weeks_(1276.0, 1531.2]",0.3256153399023395,0.001707688723171613
34,"earliest_cr_line_weeks_(1531.2, 1786.4]",0.3534114889803054,0.0007607780229839926
35,"earliest_cr_line_weeks_(1786.4, 2041.6]",0.3504925923236531,0.0012207890593975057
36,"earliest_cr_line_weeks_(2041.6, 2296.8]",0.3500617634033209,0.0021229371553521475
37,"earliest_cr_line_weeks_(2296.8, 2552.0]",0.3323283362073801,0.00964412903026067
38,total_acc_9-15,-0.00190572474772399,0.9398669891283582
39,total_acc_15-21,-0.015258677960697738,0.5377871905615431
40,total_acc_21-24,-0.0070774780659747984,0.7988031808308252
41,total_acc_24-33,0.016461938165239647,0.5186819617635126
42,total_acc_>33,0.03378683470974116,0.22270187983762857
43,open_acc_4-10,-0.02909550405167054,0.49345722385172053
44,open_acc_11-13,-0.08019233773582814,0.07139542600326729
45,open_acc_14-21,-0.0913823385523702,0.04285698731031013
46,open_acc_>21,-0.08829679751658143,0.08597059096234415
47,inq_last_6mths_<1,0.35124088248130725,4.899203289958803e-77
48,inq_last_6mths_1-2,0.24561224153000838,5.862908192865763e-37
49,inq_last_6mths_2-3,0.14469033770333273,1.7049739654435868e-11
50,emp_length_1,0.17920554280748843,2.5672370238489267e-10
51,emp_length_2_3_4,0.23981645146040215,8.973316842903698e-19
52,emp_length_5_6,0.20762295706075995,5.856298657266779e-13
53,emp_length_7_8_9,0.1781091800227778,2.938169698458874e-10
54,emp_length_10,0.24821260956519162,4.0757268754771504e-21
55,term_36,0.11523477737516134,1.898608313062769e-17
56,issue_d_weeks_156-165,1.1218479541310649,9.153683748446732e-172
57,issue_d_weeks_165-173,0.9214471354444798,6.385930256392145e-141
58,issue_d_weeks_173-180.5,0.8257197759075992,2.4280824068376186e-118
59,issue_d_weeks_181-211,0.6232231325152737,4.763298552691081e-82
60,issue_d_weeks_211-235,0.4164100184887874,1.1858410088956685e-34
61,issue_d_weeks_235-391,0.08121421454707206,0.009551645876878484
62,"int_rate_(5.399, 7.484]",1.5162754815501804,5.467903828535854e-50
63,"int_rate_(7.484, 9.548]",0.9259711887684746,5.320043557300145e-25
64,"int_rate_(9.548, 11.612]",0.6468791177863288,2.5136215110932487e-22
65,"int_rate_(11.612, 13.676]",0.447565464028687,9.621755459325523e-13
66,"int_rate_(13.676, 15.74]",0.3692474452430009,2.4302677092573393e-10
67,"int_rate_(15.74, 17.804]",0.25471657980319934,4.721447667548097e-06
68,"int_rate_(17.804, 19.868]",0.1942761901803484,0.0002605221656638839
69,"int_rate_(19.868, 21.932]",0.1793458137733096,0.00046744108943185426
70,"int_rate_(21.932, 23.996]",0.13052904545307695,0.00337175711781537
71,annual_inc_large_income,0.5177013061312676,2.032196360392012e-57
72,annual_inc_38K-73.2K,0.16064307441360628,7.132107949484422e-26
73,annual_inc_73.2K-109K,0.3792281098353971,2.683029390832901e-88
74,annual_inc_109K-144K,0.5125647886375357,6.196759233721261e-80
75,"dti_(-0.04, 2.0]",0.319104216585435,0.005841954270415979
76,"dti_(2.0, 3.999]",0.40261906754551136,0.0002728197865084459
77,"dti_(3.999, 5.998]",0.4520618010346333,2.809749415530278e-05
78,"dti_(5.998, 7.998]",0.42117307831954315,7.651373478883993e-05
79,"dti_(7.998, 9.998]",0.37534381672468436,0.0003804461521071033
80,"dti_(9.998, 11.997]",0.32163860586248944,0.002215981772431172
81,"dti_(11.997, 13.997]",0.2882646176102135,0.005942776217637976
82,"dti_(13.997, 15.996]",0.3059175530010603,0.0034697707897237175
83,"dti_(15.996, 17.996]",0.22038143900093068,0.03497836539583744
84,"dti_(17.996, 19.995]",0.19163718721287826,0.06656502199042152
85,"dti_(19.995, 21.995]",0.16878156279403378,0.1063207714436684
86,"dti_(21.995, 23.994]",0.14114119876697692,0.1773181227430668
87,"dti_(23.994, 25.994]",0.13020611972397952,0.21450968740487686
88,"dti_(25.994, 27.993]",0.06991581217120506,0.5066901040177276
89,"dti_(27.993, 29.992]",0.0700405913553782,0.507737904480086
90,"dti_(29.992, 31.992]",0.13722404518193135,0.200824441140811
91,"dti_(31.992, 33.992]",0.12530468673583842,0.24806668968919687
92,"dti_(33.992, 35.991]",0.10121446201589353,0.37554444116174235
93,"dti_(35.991, 37.991]",0.017779690780780396,0.8958710866299718
